# Rime user dictionary
#@/db_name	dicts
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	127284
#@/user_id	sync
a 	啊	c=227 d=2.80092 t=127284
zheng dao 	正道	c=1 d=0.000104638 t=127284
zheng dian 	整點	c=1 d=0.748264 t=127284
zheng fang xing 	正方形	c=1 d=0.00479587 t=127284
zheng fu 	正負	c=3 d=4.12925e-07 t=127284
zheng ge 	整個	c=18 d=0.932394 t=127284
zheng hang 	整行	c=1 d=0.00522135 t=127284
zheng hao 	正好	c=15 d=3.05962 t=127284
zheng he 	整合	c=9 d=0.291219 t=127284
zheng jian 	證件	c=2 d=0.00428889 t=127284
zheng jing 	正經	c=1 d=0.0146986 t=127284
zheng jiu 	拯救	c=2 d=0.00289433 t=127284
zheng jiu le 	拯救了	c=1 d=8.55659e-20 t=127284
zheng le 	掙了	c=1 d=0.00882647 t=127284
zheng le 	整了	c=6 d=0.307279 t=127284
zheng li 	整理	c=4 d=0.00343067 t=127284
zheng lun 	爭論	c=1 d=4.34614e-21 t=127284
zheng meng le 	整蒙了	c=1 d=1.5535e-06 t=127284
zheng ming 	證明	c=3 d=0.00625109 t=127284
zheng mo 	蒸饃	c=1 d=1.58926e-09 t=127284
zheng qi 	整齊	c=2 d=0.011109 t=127284
zheng qu 	正取	c=1 d=0.037068 t=127284
zheng qu 	爭取	c=1 d=0.00694315 t=127284
zheng qu 	蒸去	c=2 d=8.23395e-09 t=127284
zheng que 	正確	c=39 d=0.780378 t=127284
zheng que le 	正確了	c=1 d=8.99071e-14 t=127284
zheng que xing 	正確性	c=1 d=0.00018046 t=127284
zheng rong 	崢嶸	c=1 d=6.33092e-64 t=127284
zheng ru 	正如	c=1 d=0.650509 t=127284
zheng shi 	正式	c=1 d=0.32628 t=127284
zheng shi ban 	正式版	c=2 d=0.435601 t=127284
zheng shu 	整數	c=28 d=1.65908 t=127284
zheng shu 	正數	c=4 d=0.000344079 t=127284
zheng shu 	證書	c=4 d=0.118245 t=127284
zheng shu zhi 	整數值	c=3 d=0.423934 t=127284
zheng si 	整死	c=1 d=3.99687e-06 t=127284
zheng ti 	整體	c=6 d=0.000359786 t=127284
zheng wen 	徵文	c=0 d=9.5217e-43 t=127284
zheng wen 	正文	c=1 d=7.69036e-29 t=127284
zheng wen duan 	徵文段	c=1 d=9.56943e-42 t=127284
zheng wen duan 	正文段	c=1 d=9.6174e-42 t=127284
zheng xing 	整型	c=13 d=0.157237 t=127284
zheng xing 	整形	c=1 d=2.86048e-41 t=127284
zheng yi 	正義	c=1 d=0.13068 t=127284
zheng yi 	爭議	c=1 d=0.130029 t=127284
zheng zai 	正在	c=40 d=0.879242 t=127284
zheng zai dao ru 	正在導入	c=1 d=0.000675539 t=127284
zheng ze 	正則	c=13 d=2.95365 t=127284
zheng zhang 	整張	c=2 d=0.895834 t=127284
zheng zhao 	徵兆	c=1 d=2.61347e-08 t=127284
zheng zheng shu 	正整數	c=2 d=4.44465e-20 t=127284
zheng zhi 	整治	c=1 d=0.00142298 t=127284
zhi 	之	c=20 d=1.44553 t=127284
zhi 	值	c=130 d=2.7746 t=127284
zhi 	只	c=168 d=1.40023 t=127284
zhi 	志	c=3 d=0.0793432 t=127284
zhi 	指	c=15 d=0.866055 t=127284
zhi 	智	c=1 d=1.78817e-14 t=127284
zhi 	紙	c=1 d=3.13103e-16 t=127284
zhi 	置	c=2 d=0.514274 t=127284
zhi 	至	c=7 d=0.532592 t=127284
zhi a jin 	值啊進	c=1 d=1.0868e-38 t=127284
zhi biao 	製表	c=1 d=2.40051e-08 t=127284
zhi bo 	直播	c=3 d=3.83381e-06 t=127284
zhi bo dai huo 	直播帶貨	c=1 d=3.02962e-11 t=127284
zhi bu ding 	指不定	c=1 d=2.90529e-18 t=127284
zhi bu guo 	只不過	c=4 d=1.03108 t=127284
zhi bu zhi chi 	只不支持	c=1 d=0.763379 t=127284
zhi cai 	制裁	c=2 d=0.135764 t=127284
zhi chi 	只吃	c=1 d=0.000262568 t=127284
zhi chi 	支持	c=164 d=2.65159 t=127284
zhi chu 	指出	c=2 d=1.08834 t=127284
zhi chu 	支出	c=1 d=0.00740944 t=127284
zhi dao 	之道	c=1 d=0.0515605 t=127284
zhi dao 	指導	c=12 d=1.14625 t=127284
zhi dao 	直到	c=8 d=0.000189713 t=127284
zhi dao 	知道	c=48 d=1.28226 t=127284
zhi dao de 	知道的	c=2 d=0.551563 t=127284
zhi dao le 	知道了	c=2 d=0.000368894 t=127284
zhi de 	值得	c=3 d=0.831104 t=127284
zhi de 	指的	c=4 d=1.00055 t=127284
zhi de shi 	指的是	c=2 d=1.18938e-11 t=127284
zhi dia 	值嗲	c=1 d=0.000678925 t=127284
zhi dian 	指點	c=9 d=0.0127213 t=127284
zhi ding 	制定	c=2 d=0.0536647 t=127284
zhi ding 	指定	c=122 d=3.8604 t=127284
zhi ding gei 	指定給	c=1 d=6.71462e-21 t=127284
zhi du 	只讀	c=2 d=0.00283702 t=127284
zhi dui 	只對	c=2 d=0.00296761 t=127284
zhi fu 	之父	c=4 d=3.63748e-09 t=127284
zhi fu 	支付	c=4 d=0.580653 t=127284
zhi fu bao 	支付寶	c=3 d=0.0270031 t=127284
zhi ge lu 	指個路	c=1 d=2.8853e-25 t=127284
zhi gei 	只給	c=1 d=1.77556e-19 t=127284
zhi gong 	職工	c=10 d=0.998173 t=127284
zhi gong hao 	職工號	c=5 d=0.592288 t=127284
zhi guan 	只管	c=3 d=0.236994 t=127284
zhi hao 	只好	c=1 d=8.74013e-05 t=127284
zhi heng 	制衡	c=0 d=0.1 t=124302
zhi hou 	之後	c=53 d=1.15283 t=127284
zhi hu 	知乎	c=9 d=4.67626 t=127284
zhi hui 	只會	c=22 d=0.682111 t=127284
zhi hui 	智慧	c=0 d=0.00632918 t=127284
zhi hui shu 	智慧樹	c=6 d=0.530492 t=127284
zhi hui zai 	只會在	c=1 d=5.51076e-20 t=127284
zhi jia 	之家	c=0 d=5.90109e-32 t=127284
zhi jian 	之間	c=28 d=0.713877 t=127284
zhi jie 	直接	c=228 d=2.39512 t=127284
zhi jin 	至今	c=1 d=3.55468e-09 t=127284
zhi ju you 	只具有	c=1 d=5.89087e-40 t=127284
zhi jue 	直覺	c=3 d=0.540641 t=127284
zhi jun 	之君	c=1 d=0.941765 t=127284
zhi kan 	只看	c=1 d=2.71441e-42 t=127284
zhi ke yi 	只可以	c=1 d=6.0546e-39 t=127284
zhi lei 	之類	c=26 d=0.47341 t=127284
zhi lei de 	之類的	c=4 d=6.08411e-08 t=127284
zhi lian 	智聯	c=2 d=0.00117872 t=127284
zhi lian 	直連	c=11 d=0.00100797 t=127284
zhi lian 	直鏈	c=1 d=0.00634556 t=127284
zhi liang 	質量	c=24 d=0.910157 t=127284
zhi ling 	志玲	c=5 d=0.158817 t=127284
zhi ling 	指令	c=23 d=0.321425 t=127284
zhi lv 	之旅	c=2 d=1.68312 t=127284
zhi ming 	指明	c=11 d=0.00609675 t=127284
zhi ming 	知名	c=3 d=0.00612731 t=127284
zhi ming 	致命	c=2 d=2.48559e-06 t=127284
zhi nan 	指南	c=1 d=1.14226e-11 t=127284
zhi nei 	之內	c=1 d=9.05145e-05 t=127284
zhi neng 	只能	c=99 d=1.52584 t=127284
zhi neng 	智能	c=14 d=0.431711 t=127284
zhi neng gua duan 	只能掛斷	c=1 d=5.32031e-18 t=127284
zhi neng gui 	只能貴	c=1 d=0.103312 t=127284
zhi neng ne gei 	只能呢給	c=1 d=0.158817 t=127284
zhi neng shuo 	只能說	c=2 d=0.860708 t=127284
zhi neng ti 	智能體	c=4 d=2.15414e-20 t=127284
zhi ou 	止嘔	c=1 d=0.0845849 t=127284
zhi pu 	智譜	c=4 d=0.6964 t=127284
zhi qi na 	只緝拿	c=10 d=0.153355 t=127284
zhi qian 	之前	c=183 d=2.46694 t=127284
zhi qian 	值錢	c=2 d=0.000274654 t=127284
zhi qian fa de 	之前發的	c=1 d=6.7904e-06 t=127284
zhi qin 	執勤	c=1 d=0.000141955 t=127284
zhi qin a 	執勤啊	c=1 d=5.97767e-65 t=127284
zhi qing 	知情	c=1 d=0.00522135 t=127284
zhi sa hou 	值撒後	c=1 d=2.13675e-21 t=127284
zhi shao 	至少	c=18 d=0.715338 t=127284
zhi sheng 	只剩	c=5 d=0.0575558 t=127284
zhi shi 	只是	c=62 d=1.40856 t=127284
zhi shi 	指示	c=1 d=3.19972e-36 t=127284
zhi shi 	知識	c=32 d=1.10556 t=127284
zhi shi dian 	知識點	c=1 d=1.56182e-10 t=127284
zhi shi ge 	只是個	c=1 d=1.80614e-14 t=127284
zhi shi ku 	知識庫	c=27 d=1.02155 t=127284
zhi shu 	指數	c=1 d=2.52316e-06 t=127284
zhi si 	致死	c=1 d=3.11276e-06 t=127284
zhi suo yi 	之所以	c=3 d=0.00398846 t=127284
zhi ti gong 	只提供	c=1 d=5.45018e-37 t=127284
zhi wai 	之外	c=1 d=2.50486e-38 t=127284
zhi wang 	指望	c=1 d=1.25382e-14 t=127284
zhi wang 	知網	c=1 d=0.191092 t=127284
zhi wei 	職位	c=1 d=0.00124951 t=127284
zhi xi 	窒息	c=1 d=0.609571 t=127284
zhi xia 	之下	c=2 d=0.00341356 t=127284
zhi xian 	只限	c=1 d=2.45067e-16 t=127284
zhi xian 	直線	c=2 d=0.00710966 t=127284
zhi xiang 	只想	c=8 d=0.478091 t=127284
zhi xiang 	指向	c=33 d=0.95277 t=127284
zhi xing 	執行	c=150 d=2.95694 t=127284
zhi xing neng 	執行能	c=1 d=0.767206 t=127284
zhi xu 	只需	c=7 d=0.405718 t=127284
zhi xu yao 	只需要	c=7 d=0.443193 t=127284
zhi yang 	至楊	c=1 d=6.00272e-26 t=127284
zhi yao 	只要	c=30 d=1.00415 t=127284
zhi yi 	之一	c=9 d=0.0426422 t=127284
zhi yi 	直譯	c=6 d=0.00145072 t=127284
zhi ying 	只應	c=1 d=6.31929e-13 t=127284
zhi yong 	只用	c=27 d=1.04512 t=127284
zhi you 	只有	c=85 d=1.38764 t=127284
zhi you wo 	只有我	c=1 d=2.31432e-19 t=127284
zhi you yi ge 	只有一個	c=1 d=2.78416e-17 t=127284
zhi yu 	至於	c=2 d=1.86576e-06 t=127284
zhi zai 	只在	c=5 d=0.923116 t=127284
zhi ze 	職責	c=1 d=0.305746 t=127284
zhi zhang 	紙張	c=2 d=0.128093 t=127284
zhi zhe 	指着	c=1 d=1.24646e-33 t=127284
zhi zhen 	指針	c=65 d=4.35952 t=127284
zhi zhi 	直至	c=1 d=8.71135e-25 t=127284
zhi zhi 	紙質	c=0 d=1.82305e-07 t=127284
zhi zhi zuo ye 	紙質作業	c=1 d=1.83219e-06 t=127284
zhi zhuo 	執着	c=2 d=9.22029e-08 t=127284
zhi zi 	智子	c=1 d=0.311923 t=127284
zhi zuo 	製作	c=7 d=0.0179964 t=127284
zhi zuo le 	製作了	c=1 d=0.180866 t=127284
zhong 	中	c=1306 d=6.24964 t=127284
zhong 	忠	c=1 d=1.5931e-08 t=127284
zhong 	種	c=36 d=0.188821 t=127284
zhong 	重	c=5 d=0.256661 t=127284
zhong 	鍾	c=2 d=0.615697 t=127284
zhong bao 	衆包	c=3 d=0.245035 t=127284
zhong de 	中的	c=1 d=0.000115067 t=127284
zhong deng 	中等	c=1 d=4.36346e-09 t=127284
zhong dian 	重點	c=9 d=0.0940669 t=127284
zhong dian fang 	鐘點房	c=1 d=0.000409735 t=127284
zhong du qu 	中讀取	c=1 d=0.0689068 t=127284
zhong duan 	中斷	c=65 d=0.675811 t=127284
zhong duan 	終端	c=116 d=1.73442 t=127284
zhong duan jian 	中斷鍵	c=1 d=4.47773e-19 t=127284
zhong duan li 	終端裏	c=1 d=1 t=125414
zhong er 	中二	c=1 d=2.00126e-15 t=127284
zhong fen 	中份	c=1 d=0.00388746 t=127284
zhong guan 	中觀	c=1 d=1.28599e-18 t=127284
zhong guo 	中國	c=53 d=1.44521 t=127284
zhong hu 	中胡	c=1 d=0.0017555 t=127284
zhong hua 	中華	c=12 d=6.52651e-25 t=127284
zhong hua zuan ge 	中華賺個	c=1 d=6.56914e-28 t=127284
zhong ji 	終極	c=1 d=0.0513033 t=127284
zhong jian 	中間	c=19 d=0.482661 t=127284
zhong jie 	終結	c=4 d=0.0222617 t=127284
zhong jie fu 	終結符	c=1 d=0.000274654 t=127284
zhong jiu ai 	中舊愛	c=1 d=2.14454e-05 t=127284
zhong kuo hao 	中括號	c=1 d=0.0154523 t=127284
zhong le 	中了	c=1 d=0.158817 t=127284
zhong lei 	種類	c=1 d=0.159614 t=127284
zhong liang 	重量	c=1 d=1.23729e-05 t=127284
zhong liang ji 	重量級	c=1 d=0.856415 t=127284
zhong liao 	終了	c=1 d=4.26443e-33 t=127284
zhong qi 	中期	c=1 d=0.927743 t=127284
zhong shen 	終身	c=1 d=1.27958e-18 t=127284
zhong shi 	重視	c=1 d=1.36482e-12 t=127284
zhong shi fou 	中是否	c=1 d=2.24394e-38 t=127284
zhong shuo 	中說	c=1 d=4.68144e-13 t=127284
zhong wen 	中文	c=93 d=1.63439 t=127284
zhong wen 	重文	c=1 d=3.48407e-67 t=127284
zhong wen ban 	中文版	c=2 d=0.644036 t=127284
zhong wen de 	中文的	c=1 d=1 t=124480
zhong wen ne 	中文呢	c=1 d=3.32001e-29 t=127284
zhong wu 	中午	c=2 d=7.53295e-21 t=127284
zhong xin 	中心	c=7 d=1.43384 t=127284
zhong xin 	忠心	c=1 d=0.66034 t=127284
zhong xu bian li 	中序遍歷	c=1 d=0.120032 t=127284
zhong xue sheng 	中學生	c=1 d=1.6453e-05 t=127284
zhong ya 	中亞	c=1 d=1.89906e-16 t=127284
zhong yao 	重要	c=11 d=0.00211225 t=127284
zhong yao xing 	重要性	c=3 d=0.932888 t=127284
zhong yu 	忠於	c=6 d=2.8694e-05 t=127284
zhong yu 	終於	c=18 d=0.729789 t=127284
zhong zhi 	終止	c=53 d=1.34021 t=127284
zhong zhi ding li 	中值定理	c=2 d=0.00631391 t=127284
zhong zhi jin cheng 	終止進程	c=1 d=2.81109e-42 t=127284
zhong zhi zhuang tai 	終止狀態	c=1 d=1.42415e-42 t=127284
zhong zhong nan guan 	重重難關	c=0 d=0.00181334 t=127284
zhong zhuan 	中轉	c=27 d=0.694708 t=127284
zhong zhuan zhan 	中轉站	c=1 d=2.1232e-05 t=127284
zhong zhuang 	中裝	c=2 d=8.78993e-13 t=127284
zhong zhui 	中綴	c=3 d=1.55726e-05 t=127284
zhong zi 	種子	c=3 d=0.436049 t=127284
zhou 	周	c=4 d=0.106992 t=127284
zhou 	州	c=1 d=3.0057e-06 t=127284
zhou dao 	周到	c=1 d=1.37427e-05 t=127284
zhou kan 	週刊	c=1 d=0.000134358 t=127284
zhou qi 	週期	c=15 d=0.152139 t=127284
zhou shu ren 	周樹人	c=18 d=5.76243 t=127284
zhu 	主	c=25 d=2.05626 t=127284
zhu 	住	c=4 d=0.520093 t=127284
zhu 	助	c=1 d=1.27406e-26 t=127284
zhu cang 	貯藏	c=16 d=1.09554e-30 t=127284
zhu cang na ge 	貯藏哪個	c=1 d=5.59976e-32 t=127284
zhu ce 	註冊	c=106 d=2.05011 t=127284
zhu ce guo 	註冊過	c=1 d=0.000201444 t=127284
zhu ce le 	註冊了	c=1 d=0.332871 t=127284
zhu ceng 	主曾	c=1 d=2.67226e-05 t=127284
zhu cheng xu 	主程序	c=4 d=0.00726273 t=127284
zhu chi 	主持	c=1 d=6.47595e-07 t=127284
zhu chuang kou 	主窗口	c=1 d=0.000426457 t=127284
zhu ci 	主次	c=1 d=8.33965e-12 t=127284
zhu ci 	逐詞	c=2 d=0.00144037 t=127284
zhu da 	主打	c=1 d=0.000418012 t=127284
zhu dao 	主導	c=3 d=0.00366507 t=127284
zhu fen zhi 	主分支	c=6 d=0.17552 t=127284
zhu gan 	主幹	c=2 d=2.175e-11 t=127284
zhu guan 	主觀	c=1 d=2.57185e-25 t=127284
zhu hao 	主號	c=1 d=6.48478e-23 t=127284
zhu ji 	主機	c=8 d=0.00528094 t=127284
zhu jian 	主鍵	c=19 d=0.0441704 t=127284
zhu jian 	逐漸	c=1 d=0.265803 t=127284
zhu jie 	註解	c=3 d=0.151238 t=127284
zhu jue 	主角	c=10 d=0.961082 t=127284
zhu ka 	主卡	c=1 d=0.543351 t=127284
zhu li 	主力	c=2 d=2.71602e-15 t=127284
zhu liu 	主流	c=3 d=0.12938 t=127284
zhu mu lu 	主目录	c=1 d=2.94618e-06 t=127284
zhu qu 	住區	c=1 d=0.0383884 t=127284
zhu ren 	主人	c=1 d=0.0150707 t=127284
zhu ren gong 	主人公	c=2 d=0.236595 t=127284
zhu ru 	注入	c=2 d=1.25143e-21 t=127284
zhu ru 	諸如	c=1 d=1.80178e-15 t=127284
zhu se 	諸色	c=1 d=2.70004e-09 t=127284
zhu se diao 	主色調	c=1 d=2.71357e-09 t=127284
zhu shi 	註釋	c=22 d=0.00166754 t=127284
zhu shou 	助手	c=17 d=0.960799 t=127284
zhu shu 	煮熟	c=1 d=1.33366e-05 t=127284
zhu ti 	主題	c=68 d=2.97216 t=127284
zhu ti 	主體	c=4 d=5.91609e-09 t=127284
zhu tui 	主推	c=1 d=0.313486 t=127284
zhu wo 	助我	c=1 d=2.32513e-15 t=127284
zhu xian cheng 	主線程	c=1 d=0.000166586 t=127284
zhu xiao 	註銷	c=13 d=1.00996 t=127284
zhu xiao le 	註銷了	c=1 d=0.0982736 t=127284
zhu xue jin 	助學金	c=2 d=0.282239 t=127284
zhu xun huan 	主循環	c=1 d=8.12103e-23 t=127284
zhu ya 	蛀牙	c=2 d=0.323033 t=127284
zhu yao 	主要	c=92 d=3.80291 t=127284
zhu yao nei rong 	主要內容	c=1 d=7.13856e-06 t=127284
zhu yao shi 	主要是	c=8 d=1.17319 t=127284
zhu ye 	主頁	c=17 d=1.63566 t=127284
zhu yi 	主義	c=3 d=1.32466 t=127284
zhu yi 	注意	c=93 d=1.16131 t=127284
zhu yi dao 	注意到	c=2 d=5.00707e-10 t=127284
zhu yi li 	注意力	c=4 d=0.0134335 t=127284
zhu yi zhe 	主義者	c=1 d=0.0420036 t=127284
zhu yu 	助於	c=2 d=0.377192 t=127284
zhu zi 	逐字	c=1 d=0.000737397 t=127284
zhu zi zhu ci 	逐字逐詞	c=1 d=0.000655574 t=127284
zhua 	抓	c=2 d=0.00142642 t=127284
zhua bao 	抓包	c=1 d=0.0118551 t=127284
zhua bu zhu 	抓不住	c=1 d=0.0143357 t=127284
zhua le 	抓了	c=1 d=0.0130365 t=127284
zhua nuan 	抓暖	c=1 d=4.70411e-11 t=127284
zhua qu 	抓取	c=12 d=0.18323 t=127284
zhua yo 	抓喲	c=3 d=0.319819 t=127284
zhua zhu 	抓住	c=2 d=0.0792617 t=127284
zhuan 	傳	c=4 d=0.0963276 t=127284
zhuan 	賺	c=3 d=0.909373 t=127284
zhuan 	轉	c=31 d=1.8052 t=127284
zhuan cheng 	轉成	c=1 d=4.11005e-11 t=127284
zhuan cun 	轉存	c=1 d=3.08546e-20 t=127284
zhuan dao 	賺到	c=1 d=2.78994e-12 t=127284
zhuan de 	賺得	c=0 d=4.83239e-05 t=127284
zhuan de qian 	賺得錢	c=1 d=0.000485661 t=127284
zhuan fa 	轉發	c=9 d=0.731537 t=127284
zhuan hua 	轉化	c=4 d=0.008271 t=127284
zhuan huan 	轉換	c=75 d=1.0465 t=127284
zhuan huan cheng 	轉換成	c=2 d=0.00116504 t=127284
zhuan huan wei 	轉換爲	c=2 d=0.0808977 t=127284
zhuan ji 	專輯	c=3 d=2.12326e-16 t=127284
zhuan jia 	專家	c=50 d=0.0443785 t=127284
zhuan jing 	專精	c=1 d=5.98416e-19 t=127284
zhuan mai 	轉賣	c=1 d=8.35981e-11 t=127284
zhuan men 	專門	c=7 d=0.519452 t=127284
zhuan qian 	賺錢	c=5 d=0.0235366 t=127284
zhuan quan 	轉圈	c=1 d=0.071719 t=127284
zhuan rang 	轉讓	c=1 d=4.14276e-16 t=127284
zhuan ti 	專題	c=2 d=0.00212284 t=127284
zhuan wei 	轉爲	c=1 d=4.69037e-06 t=127284
zhuan xian 	專線	c=1 d=2.09159e-05 t=127284
zhuan xiang deng 	轉向燈	c=1 d=7.50839e-12 t=127284
zhuan xing 	轉型	c=1 d=0.228779 t=127284
zhuan ye 	專業	c=18 d=2.50319 t=127284
zhuan yi 	轉移	c=2 d=1.05301e-35 t=127284
zhuan yi 	轉義	c=8 d=0.763379 t=127284
zhuan yong 	專用	c=1 d=4.58562e-05 t=127284
zhuan you 	專有	c=3 d=0.000475984 t=127284
zhuan zheng 	轉正	c=1 d=5.14169e-28 t=127284
zhuan zhu 	專注	c=2 d=0.000181365 t=127284
zhuan zhuan 	轉轉	c=0 d=4.90025e-22 t=127284
zhuang 	裝	c=31 d=0.831884 t=127284
zhuang de 	裝得	c=2 d=2.01095e-13 t=127284
zhuang ge 	裝個	c=3 d=0.88692 t=127284
zhuang kuang 	狀況	c=1 d=0.694197 t=127284
zhuang le 	撞了	c=0 d=2.35826e-06 t=127284
zhuang le 	裝了	c=2 d=0.000228266 t=127284
zhuang qu 	裝區	c=1 d=0.00134011 t=127284
zhuang shi qi 	装饰器	c=2 d=0.506617 t=127284
zhuang si 	裝死	c=1 d=1.51695e-20 t=127284
zhuang ta 	裝它	c=1 d=5.12144e-11 t=127284
zhuang tai 	狀態	c=75 d=2.43634 t=127284
zhuang tai bian hua 	狀態變化	c=1 d=2.01088e-42 t=127284
zhuang tai gai bian 	狀態改變	c=1 d=2.23351e-42 t=127284
zhuang tai lan 	狀態欄	c=8 d=0.000357999 t=127284
zhuang tai ma 	狀態碼	c=3 d=0.0137736 t=127284
zhuang zhi 	裝置	c=1 d=1.0677e-06 t=127284
zhui 	綴	c=1 d=2.95381e-07 t=127284
zhui 	追	c=1 d=6.0715e-13 t=127284
zhui dao 	追到	c=1 d=6.61015e-13 t=127284
zhui fu 	追夫	c=1 d=0.00168667 t=127284
zhui jia 	追加	c=5 d=0.000863083 t=127284
zhui qi 	追緝	c=1 d=0.0228227 t=127284
zhui qiu 	追求	c=4 d=0.0970109 t=127284
zhui zhe 	追着	c=0 d=4.95472e-05 t=127284
zhui zhe wo 	追着我	c=1 d=0.000497955 t=127284
zhun 	準	c=3 d=0.71177 t=127284
zhun bei 	準備	c=13 d=0.565525 t=127284
zhun que 	準確	c=1 d=0.0267135 t=127284
zhun que de 	準確的	c=1 d=0.268474 t=127284
zhun que du 	準確度	c=1 d=0.00145173 t=127284
zhuo mian 	桌面	c=11 d=0.717308 t=127284
zhuo mian duan 	桌面端	c=14 d=0.031117 t=127284
zhuo mo 	琢磨	c=3 d=0.272532 t=127284
zhuo se 	着色	c=2 d=6.8942e-08 t=127284
zhuo yue 	卓越	c=2 d=1.96561 t=124302
zhuo zi 	桌子	c=0 d=1.78234e-06 t=127284
zhuo zi shang 	桌子上	c=1 d=1.79127e-05 t=127284
zi 	子	c=65 d=2.00648 t=127284
zi 	字	c=48 d=2.45067 t=127284
zi 	自	c=11 d=0.324652 t=127284
zi 	資	c=1 d=8.4206e-08 t=127284
zi a 	子啊	c=6 d=0.0761538 t=127284
zi can 	自殘	c=1 d=0.771052 t=127284
zi ce 	自測	c=1 d=5.97786e-36 t=127284
zi cheng xu 	子程序	c=1 d=0.00748391 t=127284
zi chong qi 	子重啓	c=1 d=0.00112497 t=127284
zi chuan 	子串	c=9 d=0.0130367 t=127284
zi chuang kou 	子窗口	c=1 d=0.0308074 t=127284
zi ci 	自此	c=1 d=0.88692 t=127284
zi dai 	自帶	c=16 d=0.399491 t=127284
zi dai de 	自帶的	c=1 d=0.715338 t=127284
zi dan 	子彈	c=1 d=6.53992e-05 t=127284
zi dian 	字典	c=2 d=0.0997588 t=127284
zi ding 	自定	c=4 d=0.280227 t=127284
zi ding yi 	自定義	c=60 d=2.0793 t=127284
zi ding yi ge 	自定一個	c=1 d=0.247833 t=127284
zi ding yi ma 	自定義嗎	c=1 d=0.00219846 t=127284
zi dong 	自動	c=127 d=2.06651 t=127284
zi dong hua 	自動化	c=6 d=0.0183156 t=127284
zi du 	自瀆	c=0 d=2.26148e-13 t=127284
zi du a 	自瀆啊	c=1 d=2.27282e-12 t=127284
zi duan 	字段	c=64 d=0.999344 t=127284
zi fa 	紫發	c=6 d=4.96032 t=124487
zi fei 	自費	c=2 d=0.0361772 t=127284
zi fu 	字符	c=88 d=1.96586 t=127284
zi fu 	自負	c=1 d=0.0243554 t=127284
zi fu chu ang 	字符出昂	c=3 d=1.79731e-07 t=127284
zi fu chuan 	字符串	c=113 d=1.47566 t=127284
zi fu chuan ma 	字符串嗎	c=2 d=1.20113e-09 t=127284
zi fu cuan 	字符竄	c=1 d=5.52408e-19 t=127284
zi fu ne 	字符呢	c=1 d=0.0133665 t=127284
zi ge 	資格	c=1 d=0.0274607 t=127284
zi ji 	子集	c=2 d=5.94591e-22 t=127284
zi ji 	自己	c=190 d=4.1188 t=127284
zi ji de 	自己的	c=1 d=3.89818e-06 t=127284
zi ji dong shou 	自己動手	c=1 d=0.000207579 t=127284
zi ji gao 	自己搞	c=1 d=4.89525e-09 t=127284
zi ji yong 	自己用	c=1 d=3.50963e-06 t=127284
zi jia 	自家	c=1 d=0.574072 t=127284
zi jian 	自建	c=10 d=0.45043 t=127284
zi jian 	自檢	c=3 d=0.774916 t=127284
zi jie 	字節	c=51 d=0.891221 t=127284
zi jie dian 	子節點	c=3 d=0.628135 t=127284
zi jie xu 	字節序	c=1 d=2.4561e-42 t=127284
zi jin cheng 	子进程	c=39 d=0.22313 t=127284
zi jiu 	自救	c=1 d=0.0212797 t=127284
zi ju 	子句	c=23 d=0.868641 t=127284
zi ju 	字句	c=2 d=0.10026 t=127284
zi lei 	子類	c=12 d=1.11419 t=127284
zi liao 	資料	c=23 d=1.52995 t=127284
zi mian 	字面	c=0 d=4.39355e-32 t=127284
zi mian liang 	字面量	c=8 d=0.130966 t=127284
zi ming ling 	子命令	c=13 d=0.00673795 t=127284
zi mu 	字幕	c=1 d=0.00303487 t=127284
zi mu 	字母	c=7 d=0.504495 t=127284
zi mu liu 	字幕流	c=1 d=1 t=126586
zi mu lu 	子目錄	c=12 d=2.1992 t=127284
zi nve 	自虐	c=1 d=2.3469e-07 t=127284
zi qi 	自啓	c=4 d=0.640493 t=127284
zi qi dong 	自启动	c=3 d=2.28216e-06 t=127284
zi qu 	自取	c=1 d=0.25924 t=127284
zi ran 	自然	c=12 d=0.0507467 t=127284
zi ran yu yan 	自然語言	c=2 d=6.66544e-15 t=127284
zi ren 	自認	c=0 d=0.00104099 t=127284
zi ren wu 	子任务	c=1 d=4.53058e-10 t=127284
zi se 	紫色	c=3 d=2.72048 t=124506
zi shen 	自身	c=2 d=3.27108e-25 t=127284
zi shi 	姿勢	c=1 d=3.48181e-30 t=127284
zi shi ying 	自適應	c=2 d=4.11999e-10 t=127284
zi shu 	子樹	c=9 d=0.524663 t=127284
zi shu 	字數	c=6 d=0.527292 t=127284
zi si 	自私	c=1 d=0.540641 t=127284
zi tai 	姿態	c=1 d=9.785e-10 t=127284
zi ti 	字體	c=29 d=0.988511 t=127284
zi wen jian 	子文件	c=2 d=0.000157475 t=127284
zi wen jian jia 	子文件夾	c=1 d=7.48518e-05 t=127284
zi wo 	自我	c=2 d=3.68957e-06 t=127284
zi xi 	仔細	c=10 d=0.660954 t=127284
zi xian cheng 	子線程	c=1 d=1 t=127167
zi xiang 	子項	c=1 d=1.46757e-13 t=127284
zi xun 	諮詢	c=2 d=0.00145901 t=127284
zi xun 	資訊	c=2 d=0.00143012 t=127284
zi xun hou 	諮詢後	c=1 d=0.000363402 t=127284
zi yan 	自研	c=2 d=0.179964 t=127284
